id;embedding;polarity
B00062NN6A-A128R2AT1FBBEV-1326585600-281;I bought vest Mom . I ordered Pink grapefruit , vendor contacted saying dark blue beautiful , rich color . My Mom loved , fit perfect , really liked zippered pocket carrying wallet securely . The fleece soft thick , looked attractive . A good buy price .;1
B00020LZAW-A313YUR3GTD1NN-1106006400-3220;This Game suck . I bought day ago Halo Killer . Halo much better . The graphic worst I 've ever seen . The cutsceens may good nothing else . The sniper rifle way hard aim fight old black bodied red eyed enemy throughout whole borimg game . The first thirty minute fun part game . After game get repetitive . Please n't buy wast fiffty dollar .;0
B000ND7BJ2-A1HFZMZXSIT3KG-1300233600-4605;good efficient , holding nice sign wear used daily one month;1
B001R6ZMWM-A9JA0MI0GFQ39-1009756800-1654;"Driven CART , open-wheel racing series . I race ; I 'm weekend warrior pull car behind truck . I lot fun , I n't huge budget , like Sylvester Stallone . So I n't screw-up quite much did.This movie surprising story much better I expected . The tale three driver couple owner . One driver young unstable , seemingly challenged fitting new surroundings expectation placed upon working car . Sly play older driver , veteran might past prime still capable winning race . And 's another driver middle -- comfortable racing series , experiencing profound self-doubt light recent setbacks.The interaction three make plot . The caracters , surface , balance could make great rich storyline . But 's lot missing piece , interaction , development.In automotive press , particularly racing world , making movie received tremendous amount ink . That press worked lot hype movie 's critical audience -- race driver . We read Bernie Ecclestone , czar F1 , discontinued long relationship Sly many month involvement . CART picked relationship , I think mistake.Racing film hard make . It 's impossible concisely capture passion , precision , effort put forth everyone involved race day . But blunder movie made nearly unbearable.That driver would leave Champ car race first one assist wrecked driver , car fly 80 foot air wreck , raindrop visible drive 130 mile hour ... fault quickly add distraction kept enjoying show . Drivers hum sing yell car , n't radio mic key pressed . Drivers n't suddenly decide 'll go little harder pas everyone sight next lap.Even though could better developed , I surprised strength story I profoundly disappointed visual aspect movie . I know Stallone lot work get footage , including using relationship CART get access pit row live race , offering many popular driver cameo . But incredulous footage put intolerable tarnish decent story .";0
B000090WE9-A28NZ3EEAAK1VB-1359331200-4616;IT IS EVERYTHING I 'D HOPED FOR ! IT IS JUST WHAT I NEEDED TO ASSIST ME IN PERFORMING THE REQUIRED DUTIES OF MY HOME BUSINESS .;1
B000E5T70K-A1PPOMMS0E2Y93-1318377600-1989;This pump defective upon receipt . But , I damaged plug little , n't feel returnable . It $ 10 , bad product n't work .;0
B000OZIBMA-A2LBPWRM0TSQHE-1210723200-3746;I made mistake buying blind ... . never ! My main problem n't really creating movie ( still difficult ) menu . The title page select terrible . First impression movie menu . Not happy . Today I 'm reading review find another program .;0
B000NW6RB6-A1SFUKXDCDE5A3-1281225600-1919;Wow . I finally found polish stay put . I bought armor anchor , never even use . The polish perfect 's .;1
B000266786-A19QN0Z5S53RNV-1297123200-4657;I 've purchased Reader Rabbit CDs pleased I get particular CD run computer . The seller rigid refund guideline guideline say n't accept refund open software software n't run laptop . What bummer !;0
B0007VZVGK-A38QVC3YPWLTST-1241395200-394;My daughter love ! It little bit hard put together , got , loving ! Thanks;1
B0002AR63M-AOLDS6V79IS2G-1249776000-1957;This plant bad as . look remarkably like plant im fond . Id reccommend item sure ! !;1
B000GU293U-A1MKJ10MTJQX03-1290038400-1458;I installed light boat trailer August 2010 . It stopped working launching boat 5 time . When I removed trailer inspected , I saw inside compartment holding light bulb corroded mess . This light ( least one I received ) NOT waterproof .;0
B000M8RKQ2-A30OR97W9HJIGW-1251936000-2219;I bought 3 two twin Grand son age 6 one Grandpa course ( I defend ) We hour fun them.Make sure Grand kid strong enough work pump Grand daughter aged 4 could work well I bought pile water pistol join fun ! Very durable product ! Great way Grandpa interact grand kid bath time !;1
B000C0TFDG-A2LD8FGCIZQTNJ-1332633600-525;This perfect Belt Tensioner Pulley . Excellent quality sign . Easy install . I recommend item .;1
